JerseyNo,Date,TRB,AST,STL,PTS
16,2018-03-06,3,1,1,6
16,2018-03-08,2,6,3,4
16,2018-03-10,2,5,1,20
16,2018-03-12,6,4,0,8
16,2018-03-14,10,7,2,18
16,2018-03-16,7,5,3,12
16,2018-03-19,11,6,1,31
16,2018-03-21,5,6,1,3
16,2018-03-23,4,2,0,23
16,2018-03-25,9,3,0,15
16,2018-03-27,9,5,2,15
16,2018-03-29,8,2,0,2
16,2018-03-31,6,5,1,18
16,2018-04-03,3,6,3,10
16,2018-04-04,0,0,0,0
16,2018-04-06,1,4,0,12
16,2018-04-09,5,0,0,11
16,2018-04-11,6,4,1,11
8,2017-10-18,2,1,0,7
8,2017-10-21,3,2,0,9
8,2017-10-23,4,0,2,6
8,2017-10-25,0,3,1,23
8,2017-10-28,2,2,1,2
8,2017-10-30,3,2,0,12
8,2017-11-01,3,2,1,19
8,2017-11-03,1,2,0,2
8,2017-11-05,2,3,3,19
8,2017-11-06,4,1,0,3
8,2017-11-08,0,0,0,0
8,2017-11-10,4,1,0,11
8,2017-11-12,4,5,0,6
8,2017-11-15,2,2,0,15
8,2017-11-17,5,3,0,7
8,2017-11-19,6,4,0,4
8,2017-11-22,7,1,1,16
8,2017-11-24,3,2,0,3
8,2017-11-26,5,2,2,10
8,2017-11-28,3,1,0,0
8,2017-11-29,1,3,2,13
8,2017-12-01,2,1,0,12
8,2017-12-03,2,2,1,13
8,2017-12-06,3,2,1,25
8,2017-12-09,4,1,0,20
8,2017-12-11,5,1,0,14
8,2017-12-13,0,0,0,0
8,2017-12-15,2,1,0,16
8,2017-12-16,6,3,1,0
8,2017-12-18,3,2,2,19
8,2017-12-20,11,5,3,6
8,2017-12-22,7,4,0,19
8,2017-12-23,3,1,2,20
8,2017-12-26,4,2,1,17
8,2017-12-29,5,1,0,11
8,2017-12-30,4,3,1,31
8,2018-01-03,3,3,0,2
8,2018-01-05,2,4,4,16
8,2018-01-07,2,2,0,16
8,2018-01-09,0,0,0,0
8,2018-01-10,5,2,1,15
8,2018-01-14,6,1,1,14
8,2018-01-15,1,3,0,10
8,2018-01-17,0,0,0,0
8,2018-01-19,0,0,0,0
8,2018-01-20,0,0,0,0
8,2018-01-22,0,0,0,0
8,2018-01-25,0,0,0,0
8,2018-01-27,3,2,1,8
8,2018-01-29,3,3,3,8
8,2018-01-31,6,1,2,11
8,2018-02-02,2,4,0,9
8,2018-02-03,1,2,2,3
8,2018-02-05,3,4,0,12
8,2018-02-07,6,3,1,3
8,2018-02-09,6,3,2,19
8,2018-02-13,4,2,1,7
8,2018-02-14,1,6,2,12
8,2018-02-23,2,3,0,15
8,2018-02-24,2,1,2,23
8,2018-02-27,2,1,2,16
8,2018-03-01,0,0,0,0
8,2018-03-03,0,0,0,0
8,2018-03-05,2,2,0,5
8,2018-03-06,3,4,3,21
8,2018-03-08,4,1,0,12
8,2018-03-10,2,3,0,13
8,2018-03-12,3,2,0,17
8,2018-03-14,5,2,1,14
8,2018-03-16,1,4,2,6
8,2018-03-19,4,3,0,8
8,2018-03-21,2,2,0,22
8,2018-03-23,6,1,0,8
8,2018-03-25,3,4,0,19
8,2018-03-27,2,2,0,7
8,2018-03-29,0,0,0,6
8,2018-03-31,4,1,0,6
8,2018-04-03,4,3,0,12
8,2018-04-04,2,2,0,6
8,2018-04-06,5,2,2,9
8,2018-04-09,4,4,3,12
8,2018-04-11,7,2,0,11
9,2017-10-18,5,3,0,10
9,2017-10-21,9,4,2,13
9,2017-10-23,10,4,2,10
9,2017-10-25,2,1,0,5
9,2017-10-28,9,1,1,14
9,2017-10-30,6,2,0,23
9,2017-11-01,2,0,0,8
9,2017-11-03,6,1,1,8
9,2017-11-05,4,1,1,2
9,2017-11-06,5,1,0,10
9,2017-11-08,9,2,0,10
9,2017-11-10,6,2,1,7
9,2017-11-12,2,0,0,8
9,2017-11-15,3,0,1,5
9,2017-11-17,4,0,1,5
9,2017-11-19,2,1,0,4
9,2017-11-22,6,2,1,6
9,2017-11-24,8,4,0,12
9,2017-11-26,5,2,1,10
9,2017-11-28,3,0,0,5
9,2017-11-29,5,2,0,18
9,2017-12-01,4,6,0,10
9,2017-12-03,7,5,0,14
9,2017-12-06,8,4,3,5
9,2017-12-09,5,3,1,11
9,2017-12-11,3,1,1,5
9,2017-12-13,6,1,1,10
9,2017-12-15,5,0,1,11
9,2017-12-16,5,4,5,11
9,2017-12-18,5,5,2,7
9,2017-12-20,7,2,1,32
9,2017-12-22,6,2,0,11
9,2017-12-23,8,3,0,10
9,2017-12-26,12,2,3,15
9,2017-12-29,7,2,1,2
9,2017-12-30,6,3,1,17
9,2018-01-03,13,3,0,25
9,2018-01-05,10,4,1,10
9,2018-01-07,2,2,1,12
9,2018-01-09,5,1,0,4
9,2018-01-10,3,1,1,11
9,2018-01-14,7,0,1,7
9,2018-01-15,3,8,0,21
9,2018-01-17,1,1,0,15
9,2018-01-19,5,3,0,12
9,2018-01-20,10,3,0,16
9,2018-01-22,2,1,1,10
9,2018-01-25,4,4,0,10
9,2018-01-27,4,6,0,16
9,2018-01-29,4,1,0,12
9,2018-01-31,7,2,3,10
9,2018-02-02,6,1,0,19
9,2018-02-03,8,5,1,19
9,2018-02-05,0,1,0,0
9,2018-02-07,0,0,0,0
9,2018-02-09,0,0,0,0
9,2018-02-13,0,0,0,0
9,2018-02-14,0,0,0,0
9,2018-02-23,0,0,0,0
9,2018-02-24,0,0,0,0
9,2018-02-27,3,3,0,9
9,2018-03-01,3,2,0,0
9,2018-03-03,5,4,1,17
9,2018-03-05,4,8,2,15
9,2018-03-06,9,5,1,3
9,2018-03-08,7,2,1,10
9,2018-03-10,11,2,1,13
9,2018-03-12,5,7,1,9
9,2018-03-14,8,5,0,13
9,2018-03-16,5,0,3,17
9,2018-03-19,8,6,1,30
9,2018-03-21,5,10,1,22
9,2018-03-23,5,3,0,9
9,2018-03-25,9,9,3,12
9,2018-03-27,5,3,3,19
9,2018-03-29,3,0,1,11
9,2018-03-31,8,2,0,16
9,2018-04-03,3,1,1,8
9,2018-04-04,8,5,0,19
9,2018-04-06,4,1,0,11
9,2018-04-09,6,1,0,5
9,2018-04-11,8,5,1,11
0,2017-10-18,2,2,0,10
0,2017-10-21,8,4,0,12
0,2017-10-23,4,2,2,21
0,2017-10-25,5,3,3,6
0,2017-10-28,0,3,0,16
0,2017-10-30,1,1,2,5
0,2017-11-01,2,1,1,3
0,2017-11-03,7,4,1,7
0,2017-11-05,2,4,3,14
0,2017-11-06,0,0,3,6
0,2017-11-08,6,1,1,4
0,2017-11-10,4,1,2,8
0,2017-11-12,5,4,1,15
0,2017-11-15,3,2,1,4
0,2017-11-17,2,2,0,3
0,2017-11-19,1,2,2,15
0,2017-11-22,3,1,0,0
0,2017-11-24,1,1,0,7
0,2017-11-26,2,1,1,0
0,2017-11-28,2,2,1,15
0,2017-11-29,3,1,3,13
0,2017-12-01,2,1,1,27
0,2017-12-03,1,2,0,12
0,2017-12-06,2,2,0,19
0,2017-12-09,6,1,0,5
0,2017-12-11,5,2,0,17
0,2017-12-13,2,0,2,11
0,2017-12-15,6,3,3,11
0,2017-12-16,3,2,1,28
0,2017-12-18,4,3,3,26
0,2017-12-20,4,6,1,19
0,2017-12-22,4,5,1,24
0,2017-12-23,4,2,1,12
0,2017-12-26,7,5,1,20
0,2017-12-29,2,2,1,19
0,2017-12-30,4,5,2,11
0,2018-01-03,0,5,1,22
0,2018-01-05,1,2,3,18
0,2018-01-07,3,7,2,14
0,2018-01-09,6,4,0,6
0,2018-01-10,3,4,1,14
0,2018-01-14,6,0,1,16
0,2018-01-15,5,6,2,11
0,2018-01-17,7,3,2,14
0,2018-01-19,4,7,3,12
0,2018-01-20,3,5,1,17
0,2018-01-22,3,1,1,12
0,2018-01-25,7,5,3,6
0,2018-01-27,2,5,1,19
0,2018-01-29,3,3,2,14
0,2018-01-31,3,2,0,15
0,2018-02-02,3,4,1,12
0,2018-02-03,1,6,3,19
0,2018-02-05,2,2,1,20
0,2018-02-07,4,5,1,30
0,2018-02-09,2,0,1,16
0,2018-02-13,3,5,1,10
0,2018-02-14,1,2,1,6
0,2018-02-23,7,3,4,15
0,2018-02-24,3,1,5,15
0,2018-02-27,5,3,4,6
0,2018-03-01,3,2,3,15
0,2018-03-03,4,2,2,17
0,2018-03-05,4,2,0,12
0,2018-03-06,2,2,3,16
0,2018-03-08,4,2,1,13
0,2018-03-10,1,4,2,13
0,2018-03-12,2,1,0,4
0,2018-03-14,0,0,0,0
0,2018-03-16,8,4,4,4
